date,price(SGD)
2025-01-26,117321
2025-01-27,116918
2025-01-28,117016
2025-01-29,117431
2025-01-30,117650
2025-01-31,117286
2025-02-01,117255
2025-02-02,117233
2025-02-03,116798
2025-02-04,116666
2025-02-05,116624
2025-02-06,116091
2025-02-07,116322
2025-02-08,116097
2025-02-09,116153
2025-02-10,116184
2025-02-11,116022
2025-02-12,116043
2025-02-13,115991
2025-02-14,116299
2025-02-15,116223
2025-02-16,116144
2025-02-17,116203
2025-02-18,115818
2025-02-19,115687
2025-02-20,116038
2025-02-21,115722
2025-02-22,115648
2025-02-23,115590
2025-02-24,115185
2025-02-25,115159
2025-02-26,115135
2025-02-27,115111
2025-02-28,115820
2025-03-01,115817
2025-03-02,116840
2025-03-03,116827
2025-03-04,116544
2025-03-05,116530
2025-03-06,115701
2025-03-07,115457
2025-03-08,115670
2025-03-09,115611
2025-03-10,115743
2025-03-11,116003
2025-03-12,115882
2025-03-13,114773
2025-03-14,115027
2025-03-15,115253
2025-03-16,115222
2025-03-17,115792
2025-03-18,115557
2025-03-19,116112
2025-03-20,116390
2025-03-21,117585
2025-03-22,117563
2025-03-23,117552
2025-03-24,117904
2025-03-25,117821
2025-03-26,117826
2025-03-27,117093
2025-03-28,117078
2025-03-29,117297
2025-03-30,117287
2025-03-31,118335
2025-04-01,118309
2025-04-02,118209
2025-04-03,118197
2025-04-04,118182
2025-04-05,118183
2025-04-06,118366
2025-04-07,118206
2025-04-08,117354
2025-04-09,117119
2025-04-10,116501
2025-04-11,116969
2025-04-12,116937
2025-04-13,116892
2025-04-14,116727
2025-04-15,116663
2025-04-16,116470
2025-04-17,116708
2025-04-18,116650
2025-04-19,116463
2025-04-20,116395
2025-04-21,116456
2025-04-22,116395
2025-04-23,116395
2025-04-24,116323
2025-04-25,116250
2025-04-26,116179
2025-04-27,116866
2025-04-28,116599
2025-04-29,116548
2025-04-30,117085
2025-05-01,116956
2025-05-02,117892
2025-05-03,117315
2025-05-04,116989
2025-05-05,116682
2025-05-06,116148
2025-05-07,115985
2025-05-08,115745
2025-05-09,115710
2025-05-10,115572
2025-05-11,115355
2025-05-12,115482
2025-05-13,115453
2025-05-14,115406
2025-05-15,115360
2025-05-16,115533
2025-05-17,115136
2025-05-18,115103
2025-05-19,115073
2025-05-20,115860
2025-05-21,116186
2025-05-22,116870
2025-05-23,116804
2025-05-24,117283
2025-05-25,117208
2025-05-26,116872
2025-05-27,116780
2025-05-28,116905
2025-05-29,117049
2025-05-30,117123
2025-05-31,116963
2025-06-01,116905
2025-06-02,116968
2025-06-03,116771
2025-06-04,116937
2025-06-05,116881
2025-06-06,117386
2025-06-07,117373
2025-06-08,116949
2025-06-09,117085
2025-06-10,116844
2025-06-11,116555
2025-06-12,116522
2025-06-13,116671
2025-06-14,116172
2025-06-15,116121
2025-06-16,116071
2025-06-17,116111
2025-06-18,116053
2025-06-19,116613
2025-06-20,117067
2025-06-21,117115
2025-06-22,117289
2025-06-23,117287
2025-06-24,117741
2025-06-25,118625
2025-06-26,118007
2025-06-27,117968
2025-06-28,117925
2025-06-29,118145
2025-06-30,118102
2025-07-01,118048
2025-07-02,117988
2025-07-03,117947
2025-07-04,118266
2025-07-05,118802
2025-07-06,118854
2025-07-07,119073
2025-07-08,119317
2025-07-09,119523
2025-07-10,119093
2025-07-11,119071
2025-07-12,119056
2025-07-13,119058
2025-07-14,119050
2025-07-15,119489
2025-07-16,119160
2025-07-17,119171
2025-07-18,119245
2025-07-19,119244
2025-07-20,118854
2025-07-21,119126
2025-07-22,119653
2025-07-23,118074
2025-07-24,118272
2025-07-25,118222
2025-07-26,118225
2025-07-27,118100
2025-07-28,118184
2025-07-29,118013
2025-07-30,117872
2025-07-31,117931
2025-08-01,118257
2025-08-02,118019
2025-08-03,118067
2025-08-04,117969
2025-08-05,118244
2025-08-06,118289
2025-08-07,117392
2025-08-08,117408
2025-08-09,117420
2025-08-10,117437
2025-08-11,117452
2025-08-12,117467
2025-08-13,117483
2025-08-14,117481
2025-08-15,117478
2025-08-16,117473
2025-08-17,118502
2025-08-18,118491
2025-08-19,118487
2025-08-20,118486
2025-08-21,118496
2025-08-22,118518
2025-08-23,118390
2025-08-24,118404
2025-08-25,118410
2025-08-26,118337
2025-08-27,118562
2025-08-28,118005
2025-08-29,118318
2025-08-30,119329
2025-08-31,119379
2025-09-01,118671
2025-09-02,118727
2025-09-03,118720
2025-09-04,118723
2025-09-05,120422
2025-09-06,120423
2025-09-07,119971
2025-09-08,119973
2025-09-09,119968
2025-09-10,121152
2025-09-11,121180
2025-09-12,122080
2025-09-13,122475
2025-09-14,122482
2025-09-15,122322
2025-09-16,122766
2025-09-17,123176
2025-09-18,123154
