date,price(SGD)
2025-01-22,30183
2025-01-23,30380
2025-01-24,30377
2025-01-25,30395
2025-01-26,30385
2025-01-27,30250
2025-01-28,30241
2025-01-29,30192
2025-01-30,30186
2025-01-31,29975
2025-02-01,29967
2025-02-02,29961
2025-02-03,29968
2025-02-04,29965
2025-02-05,29954
2025-02-06,29948
2025-02-07,29940
2025-02-08,29928
2025-02-09,29884
2025-02-10,29878
2025-02-11,29867
2025-02-12,29854
2025-02-13,29841
2025-02-14,29926
2025-02-15,29907
2025-02-16,29774
2025-02-17,29754
2025-02-18,29733
2025-02-19,29715
2025-02-20,29815
2025-02-21,29800
2025-02-22,29786
2025-02-23,29771
2025-02-24,29697
2025-02-25,29795
2025-02-26,29405
2025-02-27,29340
2025-02-28,28644
2025-03-01,28644
2025-03-02,28474
2025-03-03,28470
2025-03-04,28463
2025-03-05,28452
2025-03-06,28431
2025-03-07,29397
2025-03-08,29383
2025-03-09,29368
2025-03-10,29042
2025-03-11,28781
2025-03-12,28491
2025-03-13,28640
2025-03-14,28626
2025-03-15,28613
2025-03-16,28529
2025-03-17,28525
2025-03-18,28520
2025-03-19,28514
2025-03-20,28437
2025-03-21,28269
2025-03-22,28264
2025-03-23,28261
2025-03-24,28335
2025-03-25,27981
2025-03-26,27982
2025-03-27,28077
2025-03-28,28078
2025-03-29,28081
2025-03-30,28078
2025-03-31,28118
2025-04-01,28112
2025-04-02,28107
2025-04-03,28104
2025-04-04,28213
2025-04-05,28216
2025-04-06,28160
2025-04-07,28147
2025-04-08,28160
2025-04-09,28174
2025-04-10,28184
2025-04-11,28200
2025-04-12,28193
2025-04-13,28100
2025-04-14,27891
2025-04-15,28000
2025-04-16,27987
2025-04-17,28115
2025-04-18,28101
2025-04-19,28086
2025-04-20,27933
2025-04-21,27916
2025-04-22,27895
2025-04-23,27933
2025-04-24,27916
2025-04-25,28044
2025-04-26,28027
2025-04-27,28009
2025-04-28,27935
2025-04-29,27904
2025-04-30,27881
2025-05-01,27813
2025-05-02,27790
2025-05-03,27761
2025-05-04,27569
2025-05-05,27531
2025-05-06,27544
2025-05-07,27505
2025-05-08,27466
2025-05-09,27475
2025-05-10,27442
2025-05-11,27273
2025-05-12,27256
2025-05-13,27798
2025-05-14,27787
2025-05-15,27776
2025-05-16,27780
2025-05-17,27758
2025-05-18,27750
2025-05-19,27824
2025-05-20,27813
2025-05-21,27823
2025-05-22,27834
2025-05-23,27821
2025-05-24,27973
2025-05-25,27955
2025-05-26,27935
2025-05-27,27913
2025-05-28,27894
2025-05-29,27877
2025-05-30,27863
2025-05-31,27852
2025-06-01,27838
2025-06-02,27777
2025-06-03,27750
2025-06-04,27742
2025-06-05,27740
2025-06-06,27737
2025-06-07,28149
2025-06-08,28142
2025-06-09,28134
2025-06-10,28125
2025-06-11,27958
2025-06-12,27945
2025-06-13,27970
2025-06-14,27957
2025-06-15,27913
2025-06-16,27901
2025-06-17,27887
2025-06-18,27874
2025-06-19,27839
2025-06-20,27834
2025-06-21,27831
2025-06-22,27948
2025-06-23,28039
2025-06-24,28251
2025-06-25,28186
2025-06-26,28249
2025-06-27,28142
2025-06-28,28022
2025-06-29,28012
2025-06-30,27861
2025-07-01,27848
2025-07-02,27834
2025-07-03,27808
2025-07-04,27797
2025-07-05,27787
2025-07-06,27778
2025-07-07,27781
2025-07-08,27618
2025-07-09,27611
2025-07-10,27608
2025-07-11,27701
2025-07-12,27709
2025-07-13,27709
2025-07-14,27708
2025-07-15,27344
2025-07-16,27346
2025-07-17,27348
2025-07-18,27350
2025-07-19,27327
2025-07-20,27325
2025-07-21,27514
2025-07-22,27511
2025-07-23,27531
2025-07-24,27492
2025-07-25,27587
2025-07-26,27759
2025-07-27,27804
2025-07-28,27803
2025-07-29,27965
2025-07-30,27943
2025-07-31,27943
2025-08-01,27931
2025-08-02,27936
2025-08-03,27947
2025-08-04,28154
2025-08-05,28164
2025-08-06,28355
2025-08-07,28347
2025-08-08,28351
2025-08-09,28353
2025-08-10,28358
2025-08-11,28361
2025-08-12,28365
2025-08-13,28369
2025-08-14,28368
2025-08-15,28368
2025-08-16,28366
2025-08-17,28364
2025-08-18,28362
2025-08-19,28330
2025-08-20,28329
2025-08-21,28332
2025-08-22,28337
2025-08-23,28306
2025-08-24,28309
2025-08-25,28311
2025-08-26,28236
2025-08-27,28240
2025-08-28,28242
2025-08-29,28256
2025-08-30,28251
2025-08-31,28226
2025-09-01,28207
2025-09-02,28159
2025-09-03,28151
2025-09-04,28152
2025-09-05,28152
2025-09-06,28293
2025-09-07,28294
2025-09-08,28108
2025-09-09,28061
2025-09-10,28057
2025-09-11,28055
2025-09-12,28051
2025-09-13,28051
2025-09-14,28033
2025-09-15,28034
2025-09-16,28033
2025-09-17,28031
2025-09-18,28026
